geoid,name,place_type,lat,lon
0600135,Acalanes Ridge,CDP,37.904725,-122.078567
0600156,Acampo,CDP,38.173529,-121.279892
0600212,Acton,CDP,34.496070,-118.183897
0600296,Adelanto,city,34.580902,-117.439458
0600310,Adin,CDP,41.199312,-120.956779
0600394,Agoura Hills,city,34.148942,-118.763930
0600450,Agua Dulce,CDP,34.501678,-118.320680
0600464,Aguanga,CDP,33.452287,-116.855470
0600478,Ahwahnee,CDP,37.365423,-119.716561
0600535,Airport,CDP,37.633883,-120.972006
0600562,Alameda,city,37.741911,-122.259914
0600618,Alamo,CDP,37.854768,-122.013557
0600674,Albany,city,37.890650,-122.318116
0600716,Albion,CDP,39.225327,-123.757586
0600786,Alderpoint,CDP,40.161347,-123.615729
0600884,Alhambra,city,34.083571,-118.136444
0600898,Alhambra Valley,CDP,37.966744,-122.135998
0600947,Aliso Viejo,city,33.579210,-117.728898
0600982,Alleghany,CDP,39.466660,-120.841126
0600996,Allendale,CDP,38.442986,-121.983330
0601010,Allensworth,CDP,35.849878,-119.389209
0601094,Almanor,CDP,40.214494,-121.176220
0601150,Alondra Park,CDP,33.890155,-118.335678
0601164,Alpaugh,CDP,35.889037,-119.485809
0601192,Alpine,CDP,32.842487,-116.755911
0601228,Alpine Village,CDP,38.779346,-119.807785
0601276,Alta,CDP,39.215685,-120.798509
0601290,Altadena,CDP,34.192212,-118.135589
0601358,Alta Sierra,CDP,35.725776,-118.545166
0601360,Alta Sierra,CDP,39.126174,-121.049085
0601416,Alto,CDP,37.905581,-122.518718
0601444,Alturas,city,41.489136,-120.551286
0601458,Alum Rock,CDP,37.369387,-121.823806
0601514,Amador City,city,38.418994,-120.823263
0601518,Amador Pines,CDP,38.489631,-120.533305
0601640,American Canyon,city,38.179033,-122.259602
0601651,Amesti,CDP,36.959483,-121.781739
0602000,Anaheim,city,33.855502,-117.758657
0602028,Anchor Bay,CDP,38.812653,-123.570267
0602042,Anderson,city,40.449755,-122.295070
0602112,Angels,city,38.071037,-120.551729
0602168,Angwin,CDP,38.577875,-122.451224
0602210,Antelope,CDP,38.715330,-121.360962
0602252,Antioch,city,37.978336,-121.796064
0602294,Anza,CDP,33.561590,-116.696066
0602364,Apple Valley,town,34.533376,-117.210358
0602378,Aptos,CDP,36.991150,-121.893457
0602382,Aptos Hills-Larkin Valley,CDP,36.963492,-121.835214
0602420,Arbuckle,CDP,39.014185,-122.061041
0602462,Arcadia,city,34.132689,-118.036347
0602476,Arcata,city,40.862291,-124.074967
0602553,Arden-Arcade,CDP,38.600647,-121.384643
0602700,Armona,CDP,36.316607,-119.705380
0602770,Arnold,CDP,38.249049,-120.349327
0602812,Aromas,CDP,36.874755,-121.630732
0602868,Arroyo Grande,city,35.124149,-120.584533
0602896,Artesia,city,33.867591,-118.080634
0602910,Artois,CDP,39.633179,-122.189758
0602924,Arvin,city,35.194361,-118.830569
0602980,Ashland,CDP,37.694197,-122.115937
0603026,Aspen Springs,CDP,37.548791,-118.699663
0603064,Atascadero,city,35.485718,-120.687942
0603092,Atherton,town,37.457072,-122.201058
0603162,Atwater,city,37.354049,-120.597177
0603190,Auberry,CDP,37.088654,-119.450757
0603204,Auburn,city,38.895075,-121.076739
0603205,Auburn Lake Trails,CDP,38.886238,-120.979699
0603209,August,CDP,37.979644,-121.262510
0603274,Avalon,city,33.343335,-118.317615
0603302,Avenal,city,36.031107,-120.116174
0603316,Avery,CDP,38.206826,-120.372262
0603330,Avila Beach,CDP,35.199355,-120.720757
0603344,Avocado Heights,CDP,34.039039,-117.998167
0603386,Azusa,city,34.138524,-117.912253
0603512,Baker,CDP,35.276918,-116.071735
0603526,Bakersfield,city,35.353171,-119.037919
0603546,Bakersfield Country Club,CDP,35.389891,-118.940915
0603666,Baldwin Park,city,34.082824,-117.971286
0603694,Ballard,CDP,34.639948,-120.110989
0603708,Ballico,CDP,37.451917,-120.703707
0603792,Bangor,CDP,39.376087,-121.411654
0603820,Banning,city,33.945903,-116.899044
0604030,Barstow,city,34.866987,-117.043035
0604198,Bass Lake,CDP,37.327282,-119.565326
0604415,Bay Point,CDP,38.032254,-121.962236
0604470,Bayview,CDP,38.006234,-122.320165
0604478,Bayview,CDP,40.765360,-124.178624
0604549,Baywood Park,CDP,37.529163,-122.341637
0604576,Beale AFB,CDP,39.108061,-121.351215
0604632,Bear Creek,CDP,37.296601,-120.417676
0604716,Bear Valley,CDP,38.472321,-120.051847
0604730,Bear Valley,CDP,37.574740,-120.136098
0604734,Bear Valley Springs,CDP,35.178355,-118.669618
0604758,Beaumont,city,33.876722,-116.953009
0604772,Beckwourth,CDP,39.843931,-120.414009
0604856,Belden,CDP,40.006783,-121.248191
0604870,Bell,city,33.979704,-118.179249
0604926,Bella Vista,CDP,40.651205,-122.256370
0604938,Bell Canyon,CDP,34.208148,-118.687574
0604982,Bellflower,city,33.887821,-118.127250
0604996,Bell Gardens,city,33.964379,-118.154437
0605108,Belmont,city,37.514398,-122.294475
0605164,Belvedere,city,37.873567,-122.470995
0605262,Benbow,CDP,40.060267,-123.765381
0605276,Bend,CDP,40.255092,-122.210916
0605290,Benicia,city,38.072733,-122.155169
0605332,Ben Lomond,CDP,37.078212,-122.088102
0605346,Benton,CDP,37.822438,-118.487687
0605356,Benton Park,CDP,35.346437,-119.029811
0606000,Berkeley,city,37.865673,-122.298725
0606028,Bermuda Dunes,CDP,33.743490,-116.287335
0606070,Berry Creek,CDP,39.631812,-121.405621
