report_id,utility,event_year,source_url,mbl_advance_notice,mbl_advance_notice_confidence,mbl_advance_notice_pages_shown,wind_threshold_cited,wind_threshold_cited_confidence,wind_threshold_cited_pages_shown,complaints_reported,complaints_reported_confidence,complaints_reported_pages_shown,claims_reported,claims_reported_confidence,claims_reported_pages_shown,canceled_after_notice,canceled_after_notice_confidence,canceled_after_notice_pages_shown,customers_deenergized,customers_deenergized_page,customers_deenergized_quote_on_page,first_deenergization,first_deenergization_page,first_deenergization_quote_on_page,last_restoration,last_restoration_page,last_restoration_quote_on_page,counties_deenergized,counties_deenergized_page,counties_deenergized_quote_on_page,counties_deenergized_names,event_duration_hours
pge_2020_10_21,PG&E,2020,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-21-23-2020-psps-post-event-report.pdf,some_not_notified,0.98,25;30;34;35;42,true,0.7,6;9;16;55;63,not_stated,0.92,3;47,one_or_more,1.0,3;47,yes,1.0,8;29;32;34;46,30154,4,False,2020-10-21 17:33,73,True,2020-10-23 15:56,74,True,7,69,True,Butte; Colusa; Glenn; Plumas; Shasta; Tehama; Yolo,46.38
pge_2021_10_11,PG&E,2021,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-11-2021-psps-post-event-report.pdf,some_not_notified,0.94,6;39;50;51;52,false,0.57,9;15;34;89;91,one_or_more,0.99,3;78,one_or_more,1.0,3;78;79,yes,1.0,6;49;62;109;170,23504,39,True,2021-10-11 01:34,102,True,2021-10-14 15:22,102,True,23,39,True,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Kern; Kings; Lake; Merced; Monterey; Napa; Plumas; San Benito; San Joaquin; San Luis Obispo; Santa Barbara; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,85.8
pge_2023_09_20,PG&E,2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9-20-2023.pdf,some_not_notified,0.96,6;29;46;47;54,true,0.51,7;8;9;11;81,one_or_more,1.0,3;72;73,zero,1.0,3;72,yes,1.0,16;39;43;44;45,1171,4,False,2023-09-20 23:19,29,True,2023-09-21 17:05,29,True,3,29,True,Lake; Napa; Tehama,17.77
pge_2025_01_20,PG&E,2025,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1202025-psps-postevent-report02042025.pdf,all_notified,0.92,8;26;34;38;97,false,0.52,11;14;21;61;63,one_or_more,1.0,6;52,one_or_more,1.0,6;52;53,not_stated,0.43,41;84;87;97;187,583,26,True,2025-01-20 13:14,7,True,2025-01-21 14:17,75,True,1,9,False,Kern,25.05
sce_2021_11_24,SCE,2021,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sce-psps-postevent-report-for-112421.pdf,all_notified,0.5,10;22;23;30;39,true,0.99,14;15;16;17;50,one_or_more,1.0,7;39;50,one_or_more,1.0,7;19;39;40,yes,1.0,10;21;22;30;35,78514,22,True,2021-11-24 11:58,22,False,2021-11-26 19:48,22,True,5,22,True,Los Angeles; Orange; Riverside; San Bernardino; Ventura,55.83
sce_2023_11_20,SCE,2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-11-20-23-de-energization-event.pdf,all_notified,0.43,8;9;21;22;29,true,0.98,11;12;13;14;20,one_or_more,1.0,6;38,one_or_more,1.0,6;38,yes,1.0,9;20;21;27;34,2780,8,True,2023-11-20 06:18,22,True,2023-11-21 10:14,22,True,3,8,True,Los Angeles; Orange; Ventura,27.93
sce_2025_09_02,SCE,2025,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-september-2-2025-de-energization.pdf,some_not_notified,0.91,9;20;24;25;39,true,0.88,12;14;19;36;37,one_or_more,1.0,6;31;58;83,zero,1.0,6;16;31;58;83,yes,1.0,9;20;28;39;43,1223,8,False,2025-09-02 11:10,62,True,2025-09-10 12:49,62,True,4,8,True,Kern; Los Angeles; San Bernardino; Tulare,193.65
sdge_2020_09_08,SDG&E,2020,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-sept-8-9-2020-psps-post-event-report.pdf,some_not_notified,0.39,10;13;79;90;96,true,0.89,6;12,one_or_more,1.0,17,one_or_more,1.0,17,not_stated,,,49,83,True,2020-09-08 20:56,8,True,2020-09-09 10:26,8,True,1,8,True,San Diego County,13.5
sdge_2021_11_24,SDG&E,2021,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-psps-postevent-report-112426.pdf,not_stated,1.0,59;96;97;98;99,true,0.79,8;9;40,one_or_more,1.0,5;33;34;122;228,one_or_more,1.0,5;33;34;122;229,yes,0.97,7;20;24;25;125,5858,7,True,2021-11-24 21:53,124,True,2021-11-26 16:37,100,True,1,7,True,San Diego,42.73
sdge_2024_11_06,SDG&E,2024,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-nov-68-2024.pdf,all_notified,0.89,7;22;25;33;119,true,0.98,9;12;13;21;55,one_or_more,1.0,5;40;137;161,zero,1.0,5;40;41;137;162,yes,1.0,7;21;27;28;52,1263,6,False,2024-11-06 08:47,139,True,2024-11-08 08:18,41,True,1,7,True,San Diego,47.52
