utility,event_year,label,filename,listing,source_url
PG&E,2018,"Nov. 6-8, 2018 Pro-Active De-Energization Post Event Report",pge-psps-report-event--nov-6-8-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-event--nov-6-8-2018.pdf
PG&E,2018,"Oct. 13-17, 2018 Pro-Active De-Energization Post Event Report",pge-psps-report-letter-oct-13-17-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-letter-oct-13-17-2018.pdf
PG&E,2019,"Oct. 26 and 29, 2019 Pro-Active De-Energization Post Event Report",pge-esrb8-report-for-oct-26-29-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-esrb8-report-for-oct-26-29-2019.pdf
PG&E,2019,"Jun. 7-9, 2019 Pro-Active De-Energization Post Event Report",pge-psps-report-letter-june-7-9-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-letter-june-7-9-2019.pdf
PG&E,2019,"Nov. 20-21, 2019 Pro-Active De-Energization Post Event Report",pge-public-safety-power-shutoff-nov-2021-2019-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-nov-2021-2019-report.pdf
PG&E,2019,"Oct. 23-25, 2019 Pro-Active De-Energization Post Event Report",pge-public-safety-power-shutoff-oct-2325-2019-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-2325-2019-report.pdf
PG&E,2019,"Oct. 5-6, 2019 Pro-Active De-Energization Post Event Report",pge-public-safety-power-shutoff-oct-56-2019-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-56-2019-report.pdf
PG&E,2019,"Oct. 9-12, 2019 Pro-Active De-Energization Post Event Repor",pge-public-safety-power-shutoff-oct-912-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-912-report.pdf
PG&E,2019,"Sept. 25-27, 2019 Pro-Active De-Energization Post Event Report",public-safety-power-shutoff-sept-25-27-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/public-safety-power-shutoff-sept-25-27-2019.pdf
PG&E,2020,"Oct. 14-17, 2020: PSPS Post Event Report",pge-oct-14-17-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-14-17-2020-psps-post-event-report.pdf
PG&E,2020,"Oct. 25-28, 2020: PSPS Post Event Report",pge-oct-25-28-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-25-28-2020-psps-post-event-report.pdf
PG&E,2020,"Sept. 27-29, 2020: PSPS Post Event Report",pge-sept-27-29-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/pge-sept-27-29-2020-psps-post-event-report.pdf
PG&E,2020,"Sept. 7-10, 2020: PSPS Post Event Report",pge-sept-7-10-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-sept-7-10-2020-psps-post-event-report.pdf
PG&E,2020,"Dec. 2-3, 2020: PSPS Post Event Report",psps-event-12-02-20-de-energization-report-final.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-02-20-de-energization-report-final.pdf
PG&E,2020,"Dec. 7, 2020: PSPS Post Event Report",psps-event-12-07-20-de-energization-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-07-20-de-energization-report.pdf
PG&E,2021,"Jan 19, 2021: PG&E Post Event Report",jan-19-2021-pge-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-19-2021-pge-post-event-report.pdf
PG&E,2021,"Oct. 14-16, 2021: PG&E PSPS Post Event Report",pge-october-14-16-2021-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-14-16-2021-psps-post-event-report.pdf
PG&E,2021,"Sept 20-21, 2021: PG&E PSPS Post Event Report",pspsreportletter092021.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pspsreportletter092021.pdf
PG&E,2022,"October 22-24, 2022: PG&E PSPS Post Event Report",final-psps_10-22-22_weather_post-event_report_20221107.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2022/final-psps_10-22-22_weather_post-event_report_20221107.pdf
PG&E,2024,"July 5, 2024: PG&E PSPS Post-Event Report",07-05-2024_psps_post-event_report_20240719.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/07-05-2024_psps_post-event_report_20240719.pdf
PG&E,2024,"October 17, 2024: PG&E PSPS Post-Event Report",10-17-2024-psps-post-event-report.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/10-17-2024-psps-post-event-report.pdf
PG&E,2024,"July 20, 2024: PG&E PSPS Post-Event Report",7-20-2024-psps-post-event-report-08-02-2024.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/7-20-2024-psps-post-event-report-08-02-2024.pdf
PG&E,2024,"November 5, 2024: PG&E PSPS Post-Event Report",pge11052024pspsposteventreport.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge11052024pspsposteventreport.pdf
PG&E,2024,"July 2, 2024: PG&E PSPS Post-Event Report",pge_psps_post-event_report_20240702.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702.pdf
PG&E,2024,"December 9, 2024: PG&E PSPS Post-Event Report",r1812005pge1292024-psps-postevent-report122324.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005pge1292024-psps-postevent-report122324.pdf
PG&E,2024,"September 30, 2024: PG&E PSPS Post-Event Report",r1812005psps-event-93010152024.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005psps-event-93010152024.pdf
PG&E,2025,"June 19, 2025: PG&E PSPS Post-Event Report",r1812005--pge06192025-psps-post-event-report_072125.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005--pge06192025-psps-post-event-report_072125.pdf
PG&E,2025,"January 13, 2025: PG&E PSPS Post-Event Report",r1812005pge1132025-psps-postevent-report01020224.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1132025-psps-postevent-report01020224.pdf
