report_id,era,cell_size,utility,event_year,label,filename,listing,source_url
r2_pge_2017_2019,2017-2019,9,PG&E,2019,"Oct. 23-25, 2019 Pro-Active De-Energization Post Event Report",pge-public-safety-power-shutoff-oct-2325-2019-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-2325-2019-report.pdf
r2_pge_2020,2020,6,PG&E,2020,"Oct. 25-28, 2020: PSPS Post Event Report",pge-oct-25-28-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-25-28-2020-psps-post-event-report.pdf
r2_pge_2021_2022,2021-2022,4,PG&E,2021,"Sept 20-21, 2021: PG&E PSPS Post Event Report",pspsreportletter092021.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pspsreportletter092021.pdf
r2_pge_2023_2024,2023-2024,7,PG&E,2024,"July 20, 2024: PG&E PSPS Post-Event Report",7-20-2024-psps-post-event-report-08-02-2024.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/7-20-2024-psps-post-event-report-08-02-2024.pdf
r2_pge_2025_2026,2025-2026,6,PG&E,2025,"January 13, 2025: PG&E PSPS Post-Event Report",r1812005pge1132025-psps-postevent-report01020224.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1132025-psps-postevent-report01020224.pdf
r2_sce_2017_2019,2017-2019,19,SCE,2019,"Aug. 3-10, 2019: Pro-Active De-Energization Post Event Report",sce-psps-postevent-reportaug-310-2019-8222019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportaug-310-2019-8222019.pdf
r2_sce_2020,2020,10,SCE,2020,"Oct. 23-28, 2020: PSPS Post Event Report",sce-oct-23-28-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-oct-23-28-2020-psps-post-event-report.pdf
r2_sce_2021_2022,2021-2022,15,SCE,2021,"Oct. 22, 2021: SCE PSPS Post Event Report",r1812005sce-psps-postevent-report-for-102221.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005sce-psps-postevent-report-for-102221.pdf
r2_sce_2023_2024,2023-2024,27,SCE,2023,"October 29, 2023: SCE PSPS Post-Event Report",20231029-sce-psps-post-event-reportdeenergizedfinal.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/20231029-sce-psps-post-event-reportdeenergizedfinal.pdf
r2_sce_2025_2026,2025-2026,17,SCE,2025,"January 20, 2025: SCE PSPS Post-Event Report",20250120sce-psps-post-event-reportdeenergizedfinal.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/20250120sce-psps-post-event-reportdeenergizedfinal.pdf
r2_sdge_2017_2019,2017-2019,13,SDG&E,2018,"Oct. 19-20, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-oct-19-20-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-19-20-2018.pdf
r2_sdge_2020,2020,4,SDG&E,2020,"Dec. 23-24, 2020: PSPS Post Event Report",sdge-psps-post-event-report_december-23-24-final.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-post-event-report_december-23-24-final.pdf
r2_sdge_2021_2022,2021-2022,1,SDG&E,2021,"Jan 14-16, 2021: SDGE PSPS Post Event Report",jan-1416-2021-sdge-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-1416-2021-sdge-psps-post-event-report.pdf
r2_sdge_2023_2024,2023-2024,2,SDG&E,2024,"December 9, 2024: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf
r2_sdge_2025_2026,2025-2026,2,SDG&E,2025,"January 20, 2025: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf
