report_id,utility,event_year,label,document_url,version
pge__10_17_2024_psps_post_event_report,PG&E,2024,"October 17, 2024: PG&E PSPS Post-Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20241017-amended-redlined.pdf,Amended
sce__sce_psps_postevent_reportjuly_29aug_2_2019_8162019,SCE,2019,"Jul. 29-Aug. 2, 2019: Pro-Active De-Energization Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportjuly-29aug-2-2019-8162019.pdf,original
sdge__sdge_oct_26_27_2020_psps_post_event_report,SDG&E,2020,"Oct. 26-27, 2020: PSPS Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-oct-26-27-2020-psps-post-event-report.pdf,original
sce__sce_oct_16_2020_psps_post_event_report,SCE,2020,"Oct, 16, 2020: PSPS Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-oct-16-2020-psps-post-event-report.pdf,original
sdge__sdge_de_energization_report_nov_89_2018,SDG&E,2018,"Nov. 8-9, 2018: De-Energization Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report_nov-89-2018.pdf,original
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,SCE,2024,"November 28, 2024: SCE PSPS Post-Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-28-2024-highthreat-event.pdf,original
sce__sce_jun_25_28_2020_psps_post_event_report,SCE,2020,"June 25-28, 2020: PSPS Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-jun-25-28-2020-psps-post-event-report.pdf,original
sce__sce_post_event_reporting_september_4_through_september_8_2019,SCE,2019,"Sept. 4-8, 2019 Pro-Active De-Energization Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-sept-49-2019-9232019-amended.pdf,Amended
pge__psps_event_12_07_20_de_energization_report,PG&E,2020,"Dec. 7, 2020: PSPS Post Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/psps-event-12-07-20-de-energization-report.pdf,original
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,SCE,2025,"November 5, 2025: SCE PSPS Post-Event Report",https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-nov-5/r1812005sce-psps-postevent-for-november-5-2025-deenergization.pdf,original
