amendment_file,amendment_url,amendment_label,original_report_id,original_file
r1812005sce-psps-amendment-to-postevent-report-for-july-26-2026-deenergization.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-amendment-to-postevent-report-for-july-26-2026-deenergization.pdf,Amendment,sce__r1812005_sce_psps_post_event_report_for_7_26_26_de_energization_event,r1812005-sce-psps-post-event-report-for-7-26-26-de-energization-event.pdf
r1812005sce-psps-amendment-to-postevent-report-for-june-26-2026-deenergization.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-amendment-to-postevent-report-for-june-26-2026-deenergization.pdf,Amendment,sce__sce_psps_postevent_report_for_june_26_2026_deenergization,sce-psps-postevent-report-for-june-26-2026-deenergization.pdf
r1812005-sce-amendment-to-psps-post-event-for-october-28-2025-de-energization.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-oct-28/r1812005-sce-amendment-to-psps-post-event-for-october-28-2025-de-energization.pdf,Amendment,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,r1812005sce-psps-postevent-for-october-28-2025-deenergization.pdf
20250801sce-psps-post-event-reportdeenergizedamendment2final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250801sce-psps-post-event-reportdeenergizedamendment2final.pdf,Amendment,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,r1812005sce-psps-postevent-for-august-1-2025-de-energization.pdf
20250723sce-psps-post-event-reportdeenergizedamendment2final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250723sce-psps-post-event-reportdeenergizedamendment2final.pdf,Amendment,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,r1812005-sce-psps-post-event-for-july-23-2025-de--energization.pdf
20250715sce-psps-post-event-reportdeenergizedamendment2final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250715sce-psps-post-event-reportdeenergizedamendment2final.pdf,Amendment,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,r1812005-sce-psps-post-event-for-july-15-2025-de--energization.pdf
20250701sce-psps-post-event-reportdeenergizedamendment2final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250701sce-psps-post-event-reportdeenergizedamendment2final.pdf,Amendment 1,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf
20250701_sce_psps_post_event_report-de-energized_amendment2-final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250701_sce_psps_post_event_report-de-energized_amendment2-final.pdf,Amendment 2,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf
20250610sce-psps-post-event-reportdeenergizedamendment2final.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250610sce-psps-post-event-reportdeenergizedamendment2final.pdf,Amendment,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,r1812005sce-psps-postevent-for-june-10-2025-deenergization.pdf
r1812005-sdge-amended-psps-post-event-report-jan-7-16--2025-2-28-2025-eserve.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-amended-psps-post-event-report-jan-7-16--2025-2-28-2025-eserve.pdf,Amended,sdge__r1812005_sdge_psps_postevent_reportjan_716_2025_eserve,r1812005-sdge-psps-postevent-reportjan-716-2025-eserve.pdf
pge_psps_post-event-report_20241017-amended-redlined.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20241017-amended-redlined.pdf,Amended,pge__10_17_2024_psps_post_event_report,10-17-2024-psps-post-event-report.pdf
pge_psps_post-event-report_20240930-amended-redlined.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20240930-amended-redlined.pdf,Amended,pge__r1812005psps_event_93010152024,r1812005psps-event-93010152024.pdf
pge_psps_post-event_report_20240702-amended-redlined.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,Amended,pge__pge_psps_post_event_report_20240702,pge_psps_post-event_report_20240702.pdf
