report_id,utility,event_year,label,version,document_url,original_url,redlined,partial_corrections,mbl_advance_notice,mbl_advance_notice_confidence,mbl_advance_notice_source,wind_threshold_cited,wind_threshold_cited_confidence,wind_threshold_cited_source,complaints_reported,complaints_reported_confidence,complaints_reported_source,claims_reported,claims_reported_confidence,claims_reported_source,canceled_after_notice,canceled_after_notice_confidence,canceled_after_notice_source,customers_deenergized,customers_deenergized_source,counties_deenergized,counties_deenergized_source,counties_deenergized_names,first_deenergization,first_deenergization_source,first_deenergization_pdf_value,last_restoration,last_restoration_source,last_restoration_pdf_value,event_duration_hours,luna_text_truncated_after_page,image_pages_transcribed,image_pages_unread,flags
pge__pge_psps_report_event_nov_6_8_2018,PG&E,2018,"Nov. 6-8, 2018 Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-event--nov-6-8-2018.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-event--nov-6-8-2018.pdf,False,,not_applicable,1.0,PDF pages 2;3;5;8;9,not_stated,0.85,PDF pages 2;3,one_or_more,1.0,PDF pages 2;3;5;6,zero,1.0,PDF pages 2;3;5;6;7,yes,1.0,PDF pages 2;3;4;5;6;8;10;11,0,PDF page 4,0,PDF page 4,,,,,,,,,,0,,wind_threshold_cited:low_confidence
pge__pge_psps_report_letter_oct_13_17_2018,PG&E,2018,"Oct. 13-17, 2018 Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-letter-oct-13-17-2018.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-letter-oct-13-17-2018.pdf,False,,all_notified,0.48,PDF pages 2;3;9;12,met,0.98,PDF pages 2;3;4;5;6;13,one_or_more,1.0,PDF pages 2;3;13;14,one_or_more,1.0,PDF pages 2;3;13;14,yes,1.0,PDF pages 2;3;12;16;18;19;20,60000,PDF page 8,7,PDF page 3,Amador; Calaveras; El Dorado; Lake; Napa; Placer; Sonoma,2018-10-14 20:24,PDF page 7,2018-10-14 20:24,2018-10-17 08:47,PDF page 8,2018-10-17 08:47,60.38,,0,,mbl_advance_notice:low_confidence
pge__pge_esrb8_report_for_oct_26_29_2019,PG&E,2019,"Oct. 26 and 29, 2019 Pro-Active De-Energization Post Event Report",Amendment,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2629-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-esrb8-report-for-oct-26-29-2019.pdf,False,,some_not_notified,0.9,PDF pages 5;6;17;18;19;20;182;183,not_stated,0.86,PDF pages 5;6;10;11;37;38;40;43,one_or_more,1.0,PDF pages 5;6;21;22,one_or_more,1.0,PDF pages 5;6;21;22,yes,1.0,PDF pages 5;6;12;17;18;44;182;216,967754,PDF page 13,,,,2019-10-26 08:26,PDF page 81,2019-10-26 08:26,2019-11-08 17:00,PDF page 65,2019-11-08 17:00,320.57,,8,210(not_transcribed_cap);215(not_transcribed_cap);216(not_transcribed_cap);217(not_transcribed_cap);218(not_transcribed_cap),wind_threshold_cited:low_confidence event:unreadable_page
pge__pge_psps_report_letter_june_7_9_2019,PG&E,2019,"Jun. 7-9, 2019 Pro-Active De-Energization Post Event Report",Amendment,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-june-79-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-psps-report-letter-june-7-9-2019.pdf,False,,some_not_notified,0.99,PDF pages 6;7;12;16;17;18;40;51,met,0.31,PDF pages 6;7;8;9;27;28,not_stated,0.25,PDF pages 6;7;26;27,one_or_more,1.0,PDF pages 6;7;26;27;28,yes,1.0,PDF pages 6;7;17;27;37;56,22474,PDF page 3,4,PDF page 8,Napa; Yolo; Solano; Butte,2019-06-08 06:18,PDF page 10,2019-06-08 06:18,2019-06-09 17:44,PDF page 10,2019-06-09 17:44,35.43,,0,,wind_threshold_cited:low_confidence complaints_reported:low_confidence
pge__pge_public_safety_power_shutoff_nov_2021_2019_report,PG&E,2019,"Nov. 20-21, 2019 Pro-Active De-Energization Post Event Report",Amendment,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-nov-20-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-nov-2021-2019-report.pdf,False,,some_not_notified,0.77,PDF pages 1;2;17;18;19;20;46;47,not_stated,0.55,PDF pages 1;2;5;7;8;9;10;30,one_or_more,0.98,PDF pages 1;2;21;22,one_or_more,1.0,PDF pages 1;2;21;22,yes,1.0,PDF pages 1;2;5;6;10;18;23;45,49202,PDF page 39,11,PDF page 22,,2019-11-20 06:20,PDF page 32,2019-11-20 06:20,2019-11-21 21:56,PDF page 32,2019-11-21 21:56,39.6,,8,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence
pge__pge_public_safety_power_shutoff_oct_2325_2019_report,PG&E,2019,"Oct. 23-25, 2019 Pro-Active De-Energization Post Event Report",Amendment,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2325-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-2325-2019-report.pdf,False,,some_not_notified,0.86,PDF pages 1;2;6;7;14;16;17;18,not_stated,0.91,PDF pages 1;2;5;32;33;34;35;36,not_stated,0.97,PDF pages 1;2;20;21,one_or_more,1.0,PDF pages 1;2;20;21,yes,1.0,PDF pages 1;2;7;17;34;58;86,178809,PDF page 53,17,PDF page 23,Alpine; Amador; Butte; Calaveras; El Dorado; Kern; Lake; Mendocino; Napa; Nevada; Placer; Plumas; San Mateo; Sierra; Sonoma; Tehama; Yuba,2019-10-23 14:14,PDF page 44,2019-10-23 14:14,2019-10-25 18:28,PDF page 40,2019-10-25 18:28,52.23,,1,,mbl_advance_notice:low_confidence
pge__pge_public_safety_power_shutoff_oct_56_2019_report,PG&E,2019,"Oct. 5-6, 2019 Pro-Active De-Energization Post Event Report",Amendment,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-56-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-56-2019-report.pdf,False,,all_notified,0.48,PDF pages 5;6;7;9;10;13;14;22,not_stated,0.81,PDF pages 5;6;8;20;23;24;25;26,not_stated,0.96,PDF pages 5;6;16;17,one_or_more,1.0,PDF pages 5;6;16;17,yes,1.0,PDF pages 5;6;14;15;16;22;27;28,11609,PDF page 12,3,PDF page 5,Butte; Yuba; Plumas,2019-10-05 22:04,PDF page 10,2019-10-05 22:04,2019-10-06 15:41,PDF page 10,2019-10-06 15:41,17.62,,3,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence
pge__pge_public_safety_power_shutoff_oct_912_report,PG&E,2019,"Oct. 9-12, 2019 Pro-Active De-Energization Post Event Repor",Amended,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-912-reportamended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-912-report.pdf,False,,some_not_notified,0.93,PDF pages 2;3;11;15;16;17;103;105,not_stated,0.89,PDF pages 2;3;7;8;9;35;36;37,one_or_more,1.0,PDF pages 2;3;19;20,one_or_more,1.0,PDF pages 2;3;19;20,yes,1.0,PDF pages 2;3;16;31;32;105;153;154,732348,PDF page 90,35,PDF page 2,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; El Dorado; Glenn; Humboldt; Kern; Lake; Marin; Mariposa; Mendocino; Merced; Napa; Nevada; Placer; Plumas; San Joaquin; San Mateo; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Tehama; Trinity; Tuolumne; Yolo; Yuba,2019-10-09 00:09,PDF page 12,2019-10-09 00:09,2019-10-12 17:41,PDF page 12,2019-10-12 17:41,89.53,,6,,wind_threshold_cited:low_confidence
pge__public_safety_power_shutoff_sept_25_27_2019,PG&E,2019,"Sept. 25-27, 2019 Pro-Active De-Energization Post Event Report",Amendment,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-sept-25-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/public-safety-power-shutoff-sept-25-27-2019.pdf,False,,some_not_notified,0.99,PDF pages 12;13;15;16;29;31;32;33,met,0.55,PDF pages 9;10;11;12;13;14;54;65,one_or_more,1.0,PDF pages 53;54,one_or_more,1.0,PDF pages 53;54,yes,0.91,PDF pages 7;12;54,70826,PDF page 23,7,PDF page 33,Butte; Nevada; Placer; Plumas; Yuba; Napa; Sonoma,2019-09-23 17:06,PDF page 15,2019-09-23 17:06,2019-09-26 11:01,PDF page 20,2019-09-26 11:01,65.92,,1,,wind_threshold_cited:low_confidence
pge__pge_oct_14_17_2020_psps_post_event_report,PG&E,2020,"Oct. 14-17, 2020: PSPS Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-14-17-2020-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-14-17-2020-psps-post-event-report.pdf,False,,some_not_notified,0.96,PDF pages 4;5;8;9;29;30;33;34,not_stated,0.77,PDF pages 4;5;14;15;66;68;70;71,one_or_more,1.0,PDF pages 3;4;5;49;50,one_or_more,1.0,PDF pages 3;4;5;49;50,yes,1.0,PDF pages 4;5;30;31;32;33;34;84,40574,PDF page 9,19,PDF page 24,Alameda; Butte; Contra Costa; Humboldt; Lake; Monterey; Napa; Nevada; Plumas; San Mateo; Santa Clara; Santa Cruz; Shasta; Solano; Sonoma; Tehama; Trinity; Yolo; Yuba,2020-10-13 17:26,PDF page 78,2020-10-13 17:26,2020-10-17 10:57,PDF page 79,2020-10-17 10:57,89.52,,3,,wind_threshold_cited:low_confidence
