item,report_id,field,jev_answer,jev_confidence
1,pge__10_17_2024_psps_post_event_report,numeric fields,,
2,pge__pge_psps_post_event_report_20240702,numeric fields,,
3,pge__r1812005psps_event_93010152024,numeric fields,,
4,sce__20231029_sce_psps_post_event_reportdeenergizedfinal,all fields,,
5,sce__20250120sce_psps_post_event_reportdeenergizedfinal,last_restoration,2025-01-27 14:34,
6,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,all fields,,
7,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,all fields,,
8,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,all fields,,
9,sce__r1812005_sce_psps_post_event_report_for_11_20_23_de_energization_event,all fields,,
10,sce__r1812005_sce_psps_post_event_report_for_11_26_23_high_threat_event,all fields,,
11,sce__r1812005_sce_psps_post_event_report_for_12_9_23_de_energization_event,all fields,,
12,sce__r1812005_sce_psps_post_event_report_for_7_26_26_de_energization_event,all fields,,
13,sce__r1812005_sce_psps_postevent_report_for_11092023_deenergization_event,all fields,,
14,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,all fields,,
15,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,all fields,,
16,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,all fields,,
17,sce__sce_psps_post_event_report_10_11_2023_event,all fields,,
18,sce__sce_psps_post_event_report_7_11_2023_event,all fields,,
19,sce__sce_psps_post_event_report_7_18_2023_event,all fields,,
20,sce__sce_psps_postevent_report_for_june_26_2026_deenergization,all fields,,
21,sdge__r1812005_sdge_psps_postevent_report_112426,all fields,,
22,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,last_restoration,2025-01-24 17:06,
23,pge__pge_esrb8_report_for_oct_26_29_2019,table pages,,
24,sce__sce_psps_postevent_report_sept_21oct1_2019_10152019,table pages,,
25,sdge__r1812005_sdge_psps_postevent_report_112426,table pages,,
26,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,table pages,,
27,sdge__r1812005_sdge_psps_postevent_reportjan_716_2025_eserve,table pages,,
28,sdge__sdge_psps_postevent_reportnov_26dec_9_12232020,numeric fields,,
29,pge__pge_post_event_report_9302023_event,canceled_after_notice,,
30,pge__pge_post_event_report_9302023_event,claims_reported,,
31,pge__pge_post_event_report_9302023_event,complaints_reported,,
32,pge__pge_post_event_report_9302023_event,mbl_advance_notice,,
33,pge__pge_post_event_report_9302023_event,wind_threshold_cited,,
34,pge__r1812005coverpge12152023_psps_postevent_report01020224,canceled_after_notice,,
35,pge__r1812005coverpge12152023_psps_postevent_report01020224,claims_reported,,
36,pge__r1812005coverpge12152023_psps_postevent_report01020224,complaints_reported,,
37,pge__r1812005coverpge12152023_psps_postevent_report01020224,mbl_advance_notice,,
38,pge__r1812005coverpge12152023_psps_postevent_report01020224,wind_threshold_cited,,
39,sce__jan_1221_2021_sce_psps_post_event_report,canceled_after_notice,,
40,sce__nov_3_7_2020_sce_psps_post_event_report,canceled_after_notice,,
41,sce__r1812005_sce_psps_post_event_for_october_1_2024_de_energization,wind_threshold_cited,,
42,sce__sce_apr_1213_2021psps_post_event_report,canceled_after_notice,,
43,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,canceled_after_notice,,
44,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,mbl_advance_notice,,
45,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,canceled_after_notice,,
46,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,mbl_advance_notice,,
47,sce__sce_oct_16_2020_psps_post_event_report,canceled_after_notice,,
48,sce__sce_post_event_reporting_september_4_through_september_8_2019,mbl_advance_notice,,
49,sce__sce_psps_postevent_report_sept_21oct1_2019_10152019,mbl_advance_notice,,
50,sce__sce_psps_postevent_reportaug_1217_2019_8302019,mbl_advance_notice,,
51,sce__sce_psps_postevent_reportsept_919_2019_1032019,canceled_after_notice,,
52,sce__sce_psps_postevent_reportsept_919_2019_1032019,claims_reported,,
53,sce__sce_psps_postevent_reportsept_919_2019_1032019,complaints_reported,,
54,sce__sce_psps_postevent_reportsept_919_2019_1032019,mbl_advance_notice,,
55,sce__sce_psps_postevent_reportsept_919_2019_1032019,wind_threshold_cited,,
56,sdge__sdge_de_energization_report_dec_14_15_2017,claims_reported,,
57,sdge__sdge_de_energization_report_dec_14_15_2017,complaints_reported,,
58,sdge__sdge_de_energization_report_dec_4_2017,canceled_after_notice,,
59,sdge__sdge_de_energization_report_dec_4_2017,claims_reported,,
60,sdge__sdge_de_energization_report_dec_4_2017,complaints_reported,,
61,sdge__sdge_de_energization_report_jan_27_29_2018,canceled_after_notice,,
62,sdge__sdge_de_energization_report_jan_27_29_2018,claims_reported,,
63,sdge__sdge_de_energization_report_jan_27_29_2018,complaints_reported,,
64,sdge__sdge_de_energization_report_nov_89_2018,canceled_after_notice,,
65,sdge__sdge_de_energization_report_oct_15_16_2018,canceled_after_notice,,
66,sdge__sdge_de_energization_report_oct_20_21_2017,canceled_after_notice,,
67,sdge__sdge_de_energization_report_oct_20_21_2017,claims_reported,,
68,sdge__sdge_de_energization_report_oct_20_21_2017,complaints_reported,,
69,sdge__sdge_de_energization_report_sept_21_22_2017,canceled_after_notice,,
70,sdge__sdge_de_energization_report_sept_21_22_2017,claims_reported,,
71,sdge__sdge_de_energization_report_sept_21_22_2017,complaints_reported,,
72,sdge__sdgedeenergizationreportoct23252017,canceled_after_notice,,
73,sdge__sdgedeenergizationreportoct23252017,claims_reported,,
74,sdge__sdgedeenergizationreportoct23252017,complaints_reported,,
75,sce__sce_nov_9_2025_psps_post_event_report,wind_threshold_cited,not_met,0.13
76,pge__pge_october_14_16_2021_psps_post_event_report,mbl_advance_notice,some_not_notified,0.21
77,sce__sce_psps_post_event_report_7_11_2023_event,canceled_after_notice,not_stated,0.21
78,sce__sce_oct_16_2020_psps_post_event_report,mbl_advance_notice,not_stated,0.22
79,sce__sce_psps_postevent_report_nov_1517_2019_1222019,wind_threshold_cited,not_met,0.24
80,pge__pge_psps_report_letter_june_7_9_2019,complaints_reported,not_stated,0.25
81,pge__pge_sept_7_10_2020_psps_post_event_report,wind_threshold_cited,met,0.25
82,sdge__sdge_de_energization_report_nov_11_16_2018,wind_threshold_cited,not_stated,0.25
83,sce__r1812005_sce_psps_post_event_for_july_19_2024_high_threat,wind_threshold_cited,not_met,0.28
84,sce__sce_october_16_18_2021_psps_post_event_report,claims_reported,not_stated,0.28
85,sce__r1812005sce_psps_post_event_report_for_61424_high_threat_event,wind_threshold_cited,not_met,0.29
86,sce__sce_psps_postevent_reportaug_310_2019_8222019,claims_reported,not_stated,0.29
87,sdge__sdge_de_energization_report_dec_14_15_2017,canceled_after_notice,not_stated,0.29
88,sce__nov_24_28_2020_sce_psps_post_event_report,mbl_advance_notice,not_stated,0.3
89,sce__sce_psps_postevent_reportaug_1217_2019_8302019,complaints_reported,zero,0.3
90,sdge__sdge_de_energization_report_jan_27_29_2018,mbl_advance_notice,not_stated,0.3
91,pge__pge_psps_report_letter_june_7_9_2019,wind_threshold_cited,met,0.31
92,pge__r1812005pge71526_psps_postevent_report073026,mbl_advance_notice,all_notified,0.31
93,sce__r1812005_sce_psps_post_event_for_may_22_2025_high_threat,wind_threshold_cited,not_stated,0.31
94,sce__r1812005sce_psps_postevent_for_november_4_2024_deenergization,mbl_advance_notice,some_not_notified,0.31
95,sce__r1812005_sce_psps_post_event_report_for_11_24_22_de_energization_event,mbl_advance_notice,all_notified,0.32
96,sdge__sdge_de_energization_report_jan_27_29_2018,wind_threshold_cited,met,0.33
97,pge__r1812005_pge06192025_psps_post_event_report_072125,mbl_advance_notice,all_notified,0.34
98,sce__r1812005_sce_psps_post_event_report_for_12_9_23_de_energization_event,mbl_advance_notice,all_notified,0.34
99,sce__sce_psps_post_event_report_for_06_15_22,wind_threshold_cited,not_met,0.35
100,sdge__sdge_post_event_psps_report_october_20november_1_0,wind_threshold_cited,met,0.35
101,sce__2020_11_29_sce_psps_post_event_report_final,mbl_advance_notice,some_not_notified,0.36
102,sce__20241217sce_psps_post_event_reportdeenergized_final,mbl_advance_notice,all_notified,0.36
103,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,wind_threshold_cited,not_stated,0.36
104,sce__r1812005_sce_psps_post_event_for_july_26_2024_high_threat,wind_threshold_cited,not_stated,0.37
105,sce__r1812005_sce_psps_postevent_report_for_11092023_deenergization_event,mbl_advance_notice,some_not_notified,0.37
106,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,mbl_advance_notice,some_not_notified,0.38
107,sce__r1812005sce_psps_postevent_report_for_july_15_2026_deenergization,wind_threshold_cited,not_stated,0.38
108,sce__sce_apr_1213_2021psps_post_event_report,mbl_advance_notice,not_stated,0.38
109,sdge__sdge_de_energization_report_dec_14_15_2017,wind_threshold_cited,met,0.38
110,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,mbl_advance_notice,all_notified,0.39
111,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,mbl_advance_notice,all_notified,0.4
112,sce__sce_october_11_2021_psps_post_event_report,mbl_advance_notice,all_notified,0.4
