match,utility,report_id,warehouse_event,dataset_customers,warehouse_customers,customers_diff,customers_diff_pct,dataset_first_date,warehouse_first_date,first_date_diff_days,dataset_last_date,warehouse_last_date,last_date_diff_days,dataset_counties,warehouse_counties,dataset_county_names,warehouse_county_names,dataset_time_source,dataset_first_is_listing_date
both,PG&E,pge__pge_october_11_2021_psps_post_event_report,PGE PSPS Event 10/11/21,23504,23504,0,0.0,2021-10-11,2021-10-11,0,2021-10-14,2021-10-12,2,23,19,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Kern; Kings; Lake; Merced; Monterey; Napa; Plumas; San Benito; San Joaquin; San Luis Obispo; Santa Barbara; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Kern; Lake; Monterey; Napa; Plumas; San Benito; San Luis Obispo; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,PDF page 102,False
both,PG&E,pge__pge_october_14_16_2021_psps_post_event_report,PGE PSPS Event 10/14/21,666,666,0,0.0,2021-10-15,2021-10-14,1,2021-10-16,2021-10-16,0,1,1,Kern,Kern,PDF page 90,False
both,PG&E,pge__pge_psps_report_8_30_2023_event,PG&E PSPS Event 08/30/23,3928,3928,0,0.0,2023-08-30,2023-08-30,0,2023-08-31,2023-08-31,0,7,6,Butte; Colusa; Glenn; Lake; Shasta; Tehama; Yolo,Butte; Colusa; Glenn; Lake; Shasta; Tehama,PDF page 28,False
both,PG&E,pge__pge_post_event_report_9_20_2023,PG&E PSPS Event 09/20/23,1171,1171,0,0.0,2023-09-20,2023-09-20,0,2023-09-21,2023-09-21,0,3,3,Lake; Napa; Tehama,Lake; Napa; Tehama,PDF page 29,False
both,PG&E,pge__pge_psps_post_event_report_20240702,PG&E PSPS Event 07/02/24,1843,1833,10,0.55,2024-07-02,2024-07-02,0,2024-07-03,2024-07-03,0,8,8,Butte; Colusa; Lake; Napa; Solano; Sonoma; Tehama; Yolo,Butte; Colusa; Lake; Napa; Solano; Sonoma; Tehama; Yolo,PDF page 23,False
both,PG&E,pge__7_20_2024_psps_post_event_report_08_02_2024,PG&E PSPS Event 07/20/24,212,212,0,0.0,2024-07-20,2024-07-20,0,2024-07-21,2024-07-21,0,3,3,Alameda; Contra Costa; San Joaquin,Alameda; Contra Costa; San Joaquin,PDF page 75,False
both,PG&E,pge__r1812005psps_event_93010152024,PG&E PSPS Event 09/30/24,9176,9174,2,0.02,2024-09-30,2024-09-30,0,2024-10-01,2024-10-01,0,5,5,Butte; Colusa; Glenn; Shasta; Tehama,Butte; Colusa; Glenn; Shasta; Tehama,PDF page 4,False
both,PG&E,pge__10_17_2024_psps_post_event_report,PG&E PSPS Event 10/17/24,17367,17346,21,0.12,2024-10-17,2024-10-17,0,2024-10-20,2024-10-20,0,21,18,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Lake; Mendocino; Monterey; Napa; Plumas; San Benito; Santa Barbara; Santa Clara; Santa Cruz; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Lake; Monterey; Napa; Plumas; Santa Barbara; Santa Clara; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,PDF page 4,False
both,PG&E,pge__pge11052024pspsposteventreport,PG&E PSPS Event 11/05/24,21357,21340,17,0.08,2024-11-05,2024-11-05,0,2024-11-08,2024-11-08,0,17,16,Alameda; Butte; Colusa; Contra Costa; Glenn; Kern; Lake; Mendocino; Napa; Plumas; Santa Clara; Santa Cruz; Solano; Sonoma; Stanislaus; Tehama; Yolo,Alameda; Butte; Colusa; Contra Costa; Glenn; Kern; Lake; Napa; Plumas; Santa Clara; Santa Cruz; Solano; Sonoma; Stanislaus; Tehama; Yolo,PDF page 4,False
both,PG&E,pge__r1812005pge1292024_psps_postevent_report122324,PG&E PSPS Event 12/09/24,571,571,0,0.0,2024-12-09,2024-12-09,0,2024-12-10,2024-12-10,0,1,1,Kern,Kern,PDF page 73,False
