report_id,utility,event_year,source_page,source_url
pge_2020_10_21,PG&E,2020,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/pge-oct-21-23-2020-psps-post-event-report.pdf
pge_2021_10_11,PG&E,2021,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/pge-october-11-2021-psps-post-event-report.pdf
pge_2023_09_20,PG&E,2023,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9-20-2023.pdf
pge_2025_01_20,PG&E,2025,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1202025-psps-postevent-report02042025.pdf
sce_2021_11_24,SCE,2021,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sce-psps-postevent-report-for-112421.pdf
sce_2023_11_20,SCE,2023,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-11-20-23-de-energization-event.pdf
sce_2025_09_02,SCE,2025,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-september-2-2025-de-energization.pdf
sdge_2020_09_08,SDG&E,2020,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-sept-8-9-2020-psps-post-event-report.pdf
sdge_2021_11_24,SDG&E,2021,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season/archived-psps-post-event-reports-2017-2023,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-psps-postevent-report-112426.pdf
sdge_2024_11_06,SDG&E,2024,https://www.cpuc.ca.gov/consumer-support/psps/utility-company-psps-reports-post-event-and-post-season,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-nov-68-2024.pdf
